canonicalId,name,country,mainlandChina,rankingSources,qsRank,theRank,arwuRank,usnewsRank,goalCategory,programCaptured,programCandidates
u_adelaide_university,Adelaide University,Australia,False,qs|usnews,79,,,85,official-blocked,0,0
u_curtin_university,Curtin University,Australia,False,qs|the|arwu|usnews,189,251,201,155,official-blocked,0,0
u_deakin_university,Deakin University,Australia,False,qs|the|arwu|usnews,227,201,201,142,official-blocked,0,0
u_edith_cowan_university,Edith Cowan University,Australia,False,the|usnews,,351,,435,official-blocked,0,0
u_griffith_university,Griffith University,Australia,False,qs|the|arwu|usnews,231,251,301,226,official-blocked,0,0
u_james_cook_university,James Cook University,Australia,False,qs|the|arwu|usnews,440,351,401,382,official-blocked,0,0
u_la_trobe_university,La Trobe University,Australia,False,qs|the|arwu|usnews,241,251,301,285,official-blocked,0,0
u_macquarie_university,Macquarie University,Australia,False,qs|the|arwu|usnews,127,166,201,173,official-blocked,0,0
u_monash_university,Monash University,Australia,False,qs|the|arwu|usnews,31,58,76,38,official-blocked,0,0
u_queensland_university_of_technology,Queensland University of Technology,Australia,False,qs|the|arwu|usnews,240,201,301,172,official-blocked,0,0
u_university_of_tasmania,University of Tasmania,Australia,False,qs|the|arwu|usnews,311,251,301,270,official-blocked,0,0
u_federal_university_of_minas_gerais,Federal University of Minas Gerais,Brazil,False,usnews,,,,494,official-blocked,0,0
u_sao_paulo_state_university,Sao Paulo State University,Brazil,False,arwu,,,401,,official-blocked,0,0
u_universidade_estadual_de_campinas_unicamp,Universidade Estadual de Campinas (Unicamp),Brazil,False,qs|usnews,277,,,359,official-blocked,0,0
u_university_of_campinas,University of Campinas,Brazil,False,the|arwu,,351,401,,official-blocked,0,0
u_university_of_são_paulo,University of São Paulo,Brazil,False,qs|the|arwu|usnews,133,201,101,134,official-blocked,0,0
u_universiti_brunei_darussalam_ubd,Universiti Brunei Darussalam (UBD),Brunei,False,qs,347,,,,official-blocked,0,0
u_laval_university,Laval University,Canada,False,the|arwu,,401,301,,official-blocked,0,0
u_mcgill_university,McGill University,Canada,False,qs|the|arwu|usnews,30,41,76,68,official-blocked,0,0
u_university_of_alberta,University of Alberta,Canada,False,qs|the|arwu|usnews,96,119,101,164,official-blocked,0,0
u_university_of_toronto,University of Toronto,Canada,False,qs|the|arwu|usnews,32,21,25,20,official-blocked,0,0
u_east_china_university_of_science_and_technology,East China University of Science and Technology,China,True,arwu,,,201,,official-blocked,0,0
u_fuzhou_university,Fuzhou University,China,True,arwu|usnews,,,301,382,official-blocked,0,0
u_peking_union_medical_college,Peking Union Medical College,China,True,arwu|usnews,,,151,378,official-blocked,0,0
u_yangzhou_university,Yangzhou University,China,True,arwu,,,301,,official-blocked,0,0
u_universidad_nacional_de_colombia,Universidad Nacional de Colombia,Colombia,False,qs,293,,,,official-blocked,0,0
u_university_of_cyprus,University of Cyprus,Cyprus,False,the,,401,,,official-blocked,0,0
u_al_azhar_university,Al Azhar University,Egypt,False,usnews,,,,279,official-blocked,0,0
u_cairo_university,Cairo University,Egypt,False,qs|arwu|usnews,364,,401,221,official-blocked,0,0
u_city_university_of_hong_kong,City University of Hong Kong,Hong Kong,False,qs|the|arwu|usnews,52,73,99,47,official-blocked,0,0
u_hong_kong_baptist_university,Hong Kong Baptist University,Hong Kong,False,qs|the|usnews,216,201,,371,official-blocked,0,0
u_university_of_hong_kong,University of Hong Kong,Hong Kong,False,qs|the|arwu|usnews,11,33,67,40,official-blocked,0,0
u_semmelweis_university,Semmelweis University,Hungary,False,the,,251,,,official-blocked,0,0
u_indian_institute_of_technology_kanpur_iitk,Indian Institute of Technology Kanpur (IITK),India,False,qs,222,,,,official-blocked,0,0
u_saveetha_institute_of_medical_and_technical_sciences,Saveetha Institute of Medical and Technical Sciences,India,False,the,,351,,,official-blocked,0,0
u_universitas_airlangga,Universitas Airlangga,Indonesia,False,qs,276,,,,official-blocked,0,0
