canonicalId,name,country,mainlandChina,rankingSources,qsRank,theRank,arwuRank,usnewsRank,goalCategory,programCaptured,programCandidates
u_australian_catholic_university,Australian Catholic University,Australia,False,the|usnews,,401,,320,new-program-raw,5,5
u_australian_national_university,Australian National University,Australia,False,qs|the|arwu|usnews,29,73,101,81,new-program-raw,8,9
u_bond_university,Bond University,Australia,False,the,,401,,,new-program-raw,6,6
u_charles_darwin_university,Charles Darwin University,Australia,False,the,,401,,,new-program-raw,20,21
u_flinders_university,Flinders University,Australia,False,qs|the|arwu|usnews,375,301,401,376,new-program-raw,195,197
u_murdoch_university,Murdoch University,Australia,False,qs|the|usnews,423,401,,460,new-program-raw,1,1
u_swinburne_university_of_technology,Swinburne University of Technology,Australia,False,qs|the|arwu|usnews,291,251,201,164,new-program-raw,28,28
u_the_university_of_new_south_wales_unsw_sydney,The University of New South Wales (UNSW Sydney),Australia,False,qs|arwu|usnews,19,,80,33,new-program-raw,16,16
u_the_university_of_queensland,The University of Queensland,Australia,False,qs|the|arwu|usnews,41,80,65,42,new-program-raw,14,14
u_unsw_sydney,UNSW Sydney,Australia,False,the,,79,,,new-program-raw,16,16
u_university_of_canberra,University of Canberra,Australia,False,qs|the,481,401,,,new-program-raw,9,9
u_university_of_southern_queensland,University of Southern Queensland,Australia,False,qs|the|usnews,415,351,,345,new-program-raw,1,1
u_university_of_sydney,University of Sydney,Australia,False,qs|the|arwu|usnews,28,53,72,31,new-program-raw,51,52
u_university_of_technology_sydney,University of Technology Sydney,Australia,False,qs|the|arwu|usnews,88,145,201,85,new-program-raw,3,3
u_university_of_wollongong,University of Wollongong,Australia,False,qs|the|arwu|usnews,195,201,301,204,new-program-raw,166,174
u_victoria_university,Victoria University,Australia,False,the,,301,,,new-program-raw,8,8
u_western_sydney_university,Western Sydney University,Australia,False,qs|the|arwu|usnews,374,301,301,242,new-program-raw,14,14
u_central_european_university,Central European University,Austria,False,qs,239,,,,existing-program-raw,29,29
u_johannes_kepler_university_of_linz,Johannes Kepler University of Linz,Austria,False,qs|the,459,401,,,existing-program-raw,3,3
u_medical_university_of_graz,Medical University of Graz,Austria,False,the,,201,,,existing-program-raw,3,3
u_medical_university_of_innsbruck,Medical University of Innsbruck,Austria,False,the|usnews,,201,,479,existing-program-raw,3,3
u_medical_university_of_vienna,Medical University of Vienna,Austria,False,the|arwu|usnews,,181,201,213,existing-program-raw,3,3
u_tu_wien,TU Wien,Austria,False,the,,301,,,existing-program-raw,4,4
u_technische_universität_wien,Technische Universität Wien,Austria,False,qs,192,,,,existing-program-raw,24,24
u_university_of_innsbruck,University of Innsbruck,Austria,False,qs|the|arwu|usnews,333,301,201,447,existing-program-raw,78,78
u_university_of_vienna,University of Vienna,Austria,False,qs|the|arwu|usnews,141,95,101,193,existing-program-raw,118,118
u_vienna_university_of_technology,Vienna University of Technology,Austria,False,arwu,,,201,,existing-program-raw,24,24
u_free_university_of_brussels,Free University of Brussels,Belgium,False,usnews,,,,364,existing-program-raw,231,264
u_ghent_university,Ghent University,Belgium,False,qs|the|arwu|usnews,150,115,91,104,existing-program-raw,5,5
u_hasselt_university,Hasselt University,Belgium,False,the,,301,,,existing-program-raw,4,4
u_ku_leuven,KU Leuven,Belgium,False,qs|the|arwu|usnews,59,46,76,48,existing-program-raw,8,8
u_university_of_antwerp,University of Antwerp,Belgium,False,qs|the|arwu|usnews,278,170,301,206,existing-program-raw,125,128
u_university_of_liège,University of Liège,Belgium,False,qs|the|arwu|usnews,366,301,401,421,existing-program-raw,5,5
u_université_libre_de_bruxelles,Université Libre de Bruxelles,Belgium,False,qs|the|arwu|usnews,248,201,101,275,existing-program-raw,203,203
u_université_catholique_de_louvain_uclouvain,Université catholique de Louvain (UCLouvain),Belgium,False,qs|the|arwu|usnews,196,184,201,216,existing-program-raw,86,149
u_vrije_universiteit_brussel_vub,Vrije Universiteit Brussel (VUB),Belgium,False,qs|the|arwu,295,201,301,,existing-program-raw,208,209
u_concordia_university,Concordia University,Canada,False,qs,497,,,,new-program-raw,9,9
u_dalhousie_university,Dalhousie University,Canada,False,qs|the|arwu|usnews,298,351,301,410,new-program-raw,4,4
u_queens_university,Queen’s University,Canada,False,qs|the|arwu|usnews,181,301,201,415,new-program-raw,10,10
u_simon_fraser_university,Simon Fraser University,Canada,False,qs|the|arwu|usnews,312,301,401,444,new-program-raw,4,4
u_university_of_calgary,University of Calgary,Canada,False,qs|the|arwu|usnews,249,200,151,208,new-program-raw,23,23
u_university_of_ottawa,University of Ottawa,Canada,False,qs|the|arwu|usnews,229,187,201,264,new-program-raw,25,25
u_university_of_saskatchewan,University of Saskatchewan,Canada,False,qs|the|arwu,414,351,401,,new-program-raw,8,8
u_university_of_victoria,University of Victoria,Canada,False,qs|the|arwu|usnews,373,301,301,417,new-program-raw,10,10
u_university_of_waterloo,University of Waterloo,Canada,False,qs|the|arwu|usnews,114,162,151,199,new-program-raw,1,1
u_western_university,Western University,Canada,False,qs|the|arwu|usnews,144,201,301,309,new-program-raw,1,1
u_york_university,York University,Canada,False,qs|arwu,324,,201,,new-program-raw,112,112
u_jinan_university,Jinan University,China,True,qs|arwu|usnews,485,,301,324,new-program-raw,8,11
u_charles_university,Charles University,Czechia,False,qs|the|arwu|usnews,273,401,301,230,existing-program-raw,4,4
u_masaryk_university,Masaryk University,Czechia,False,qs|arwu,456,,401,,existing-program-raw,61,61
u_aalborg_university,Aalborg University,Denmark,False,qs|the|arwu|usnews,329,251,301,288,existing-program-raw,38,38
u_aarhus_university,Aarhus University,Denmark,False,qs|the|arwu|usnews,128,101,85,117,existing-program-raw,3,3
u_technical_university_of_denmark,Technical University of Denmark,Denmark,False,qs|the|arwu|usnews,106,121,151,189,existing-program-raw,36,36
u_university_of_copenhagen,University of Copenhagen,Denmark,False,qs|the|arwu|usnews,91,90,35,45,existing-program-raw,81,81
u_university_of_southern_denmark,University of Southern Denmark,Denmark,False,qs|the|arwu|usnews,286,251,301,278,existing-program-raw,60,60
u_assiut_university,Assiut University,Egypt,False,usnews,,,,405,new-program-raw,3,3
u_university_of_tartu,University of Tartu,Estonia,False,qs|the|usnews,369,301,,281,existing-program-raw,29,29
u_aalto_university,Aalto University,Finland,False,qs|the|arwu|usnews,126,195,401,290,existing-program-raw,29,32
u_lut_university,LUT University,Finland,False,qs|the,390,251,,,existing-program-raw,206,208
u_tampere_university,Tampere University,Finland,False,qs|the|usnews,438,301,,451,existing-program-raw,11,11
u_university_of_helsinki,University of Helsinki,Finland,False,qs|the|arwu|usnews,124,105,94,109,existing-program-raw,11,11
u_university_of_jyväskylä,University of Jyväskylä,Finland,False,the,,401,,,existing-program-raw,16,16
u_university_of_oulu,University of Oulu,Finland,False,qs|the|arwu|usnews,362,251,401,348,existing-program-raw,3,3
u_university_of_turku,University of Turku,Finland,False,qs|the|arwu|usnews,401,301,401,362,existing-program-raw,40,40
u_university_of_vaasa,University of Vaasa,Finland,False,the,,401,,,existing-program-raw,16,16
u_aix_marseille_university,Aix-Marseille University,France,False,qs|the|arwu|usnews,444,,151,247,existing-program-raw,95,96
u_claude_bernard_university_lyon_1,Claude Bernard University Lyon 1,France,False,the|arwu|usnews,,,201,371,existing-program-raw,19,19
u_imt_atlantique,IMT Atlantique,France,False,the,,401,,,existing-program-raw,12,12
u_institut_agro,Institut Agro,France,False,the,,401,,,existing-program-raw,3,3
u_psl_university,PSL University,France,False,qs|the|arwu|usnews,34,48,34,108,existing-program-raw,179,182
u_paul_sabatier_university_toulouse_3,Paul Sabatier University (Toulouse 3),France,False,arwu,,,301,,existing-program-raw,3,3
u_sciences_po,Sciences Po,France,False,qs,355,,,,existing-program-raw,6,6
u_sorbonne_university,Sorbonne University,France,False,qs|the|arwu|usnews,73,76,43,67,existing-program-raw,23,24
u_toulouse_capitole_university,Toulouse Capitole University,France,False,arwu,,,401,,existing-program-raw,75,75
u_university_paul_sabatier_toulouse_3,University Paul Sabatier - Toulouse 3,France,False,usnews,,,,331,existing-program-raw,2,2
u_university_of_bordeaux,University of Bordeaux,France,False,qs|the|arwu|usnews,488,401,201,281,existing-program-raw,27,27
u_university_of_côte_dazur,University of Côte d'Azur,France,False,arwu|usnews,,,401,457,existing-program-raw,18,18
u_university_of_lorraine,University of Lorraine,France,False,arwu|usnews,,,201,466,existing-program-raw,3,3
u_university_of_montpellier,University of Montpellier,France,False,qs|the|arwu|usnews,474,401,151,259,existing-program-raw,46,46
u_university_of_nantes,University of Nantes,France,False,usnews,,,,460,existing-program-raw,3,3
u_university_of_strasbourg,University of Strasbourg,France,False,qs|arwu|usnews,457,,101,331,existing-program-raw,462,463
u_university_of_toulouse,University of Toulouse,France,False,the,,,,,existing-program-raw,2,2
u_université_grenoble_alpes,Université Grenoble Alpes,France,False,qs|the|arwu|usnews,387,351,151,320,existing-program-raw,2,2
u_université_paris_1_panthéon_sorbonne,Université Paris 1 Panthéon-Sorbonne,France,False,qs,246,,,,existing-program-raw,4,4
u_université_paris_cité,Université Paris Cité,France,False,qs|the|arwu,303,190,60,,existing-program-raw,3,3
u_université_paris_saclay,Université Paris-Saclay,France,False,qs|the|arwu|usnews,76,68,13,82,existing-program-raw,31,31
u_université_de_lille,Université de Lille,France,False,arwu|usnews,,,401,351,existing-program-raw,55,55
u_université_de_paris,Université de Paris,France,False,usnews,,,,61,existing-program-raw,21,21
u_école_normale_supérieure_de_lyon,École Normale Supérieure de Lyon,France,False,qs|the|arwu,235,301,301,,existing-program-raw,114,115
u_albert_ludwigs_universitaet_freiburg,Albert-Ludwigs-Universitaet Freiburg,Germany,False,qs,245,,,,existing-program-raw,3,3
u_charité_universitätsmedizin_berlin,Charité - Universitätsmedizin Berlin,Germany,False,the,,91,,,existing-program-raw,4,4
u_eberhard_karls_university_tübingen,"Eberhard Karls University, Tübingen",Germany,False,qs|usnews,230,,,193,existing-program-raw,7,7
u_freie_universität_berlin,Freie Universität Berlin,Germany,False,qs|the|usnews,99,113,,63,existing-program-raw,110,110
u_friedrich_schiller_university_jena,Friedrich Schiller University Jena,Germany,False,the|usnews,,201,,410,existing-program-raw,2,2
u_friedrich_alexander_universität_erlangen_nürnberg,Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,False,qs,218,,,,existing-program-raw,92,92
u_goethe_university_frankfurt,Goethe University Frankfurt,Germany,False,the|arwu,,201,151,,existing-program-raw,4,4
u_goethe_university_frankfurt_am_main,Goethe-University Frankfurt am Main,Germany,False,qs,376,,,,existing-program-raw,102,102
u_heinrich_heine_university_duesseldorf,Heinrich Heine University Duesseldorf,Germany,False,arwu,,,201,,existing-program-raw,337,338
u_heinrich_heine_university_düsseldorf,Heinrich Heine University Düsseldorf,Germany,False,the|usnews,,251,,440,existing-program-raw,337,338
u_humboldt_universität_zu_berlin,Humboldt-Universität zu Berlin,Germany,False,qs|the|usnews,140,89,,51,existing-program-raw,3,3
u_johann_wolfgang_goethe_university_frankfurt_am_main,Johann Wolfgang Goethe University Frankfurt am Main,Germany,False,usnews,,,,218,existing-program-raw,3,3
u_johannes_gutenberg_university_of_mainz,Johannes Gutenberg University of Mainz,Germany,False,qs|the|usnews,500,301,,223,existing-program-raw,3,3
u_julius_maximilians_universität_würzburg,Julius-Maximilians-Universität Würzburg,Germany,False,qs,431,,,,existing-program-raw,33,33
