canonicalId,name,country,mainlandChina,rankingSources,qsRank,theRank,arwuRank,usnewsRank,goalCategory,programCaptured,programCandidates
u_universidad_nacional_de_la_plata_unlp,Universidad Nacional de La Plata (UNLP),Argentina,False,qs,476,,,,verified-zero-candidates,0,0
u_university_of_buenos_aires,University of Buenos Aires,Argentina,False,qs|arwu|usnews,84,,201,348,verified-zero-candidates,0,0
u_rmit_university,RMIT University,Australia,False,qs|the|arwu|usnews,121,251,301,173,verified-zero-candidates,0,0
u_the_university_of_western_australia,The University of Western Australia,Australia,False,qs|the|arwu|usnews,77,153,101,90,new-program-raw,0,10
u_university_of_melbourne,University of Melbourne,Australia,False,qs|the|arwu|usnews,23,37,38,28,new-program-raw,0,5
u_graz_university_of_technology,Graz University of Technology,Austria,False,qs,410,,,,existing-program-raw,0,3
u_federal_university_of_rio_grande_do_sul,Federal University of Rio Grande do Sul,Brazil,False,arwu|usnews,,,,429,verified-zero-candidates,0,0
u_universidade_federal_do_rio_de_janeiro,Universidade Federal do Rio de Janeiro,Brazil,False,qs|usnews,368,,,488,verified-zero-candidates,0,0
u_university_of_british_columbia,University of British Columbia,Canada,False,qs|the|arwu|usnews,46,45,53,42,verified-zero-candidates,0,0
u_university_of_guelph,University of Guelph,Canada,False,the,,401,,,verified-zero-candidates,0,0
u_university_of_manitoba,University of Manitoba,Canada,False,the|arwu|usnews,,,301,471,new-program-raw,0,9
u_université_de_montréal,Université de Montréal,Canada,False,qs|the|arwu|usnews,162,150,151,193,verified-zero-candidates,0,0
u_pontificia_universidad_católica_de_chile_uc,Pontificia Universidad Católica de Chile (UC),Chile,False,qs|usnews,120,,,336,verified-zero-candidates,0,0
u_universidad_de_chile,Universidad de Chile,Chile,False,qs|arwu|usnews,186,,,421,verified-zero-candidates,0,0
u_beijing_university_of_technology,Beijing University of Technology,China,True,arwu|usnews,,,201,482,verified-zero-candidates,0,0
u_central_china_normal_university,Central China Normal University,China,True,usnews,,,,429,verified-zero-candidates,0,0
u_fudan_university,Fudan University,China,True,qs|the|arwu|usnews,26,36,41,49,verified-zero-candidates,0,0
u_guangdong_university_of_technology,Guangdong University of Technology,China,True,arwu,,,301,,verified-zero-candidates,0,0
u_hainan_university,Hainan University,China,True,arwu,,,401,,verified-zero-candidates,0,0
u_hohai_university,Hohai University,China,True,arwu|usnews,,,401,457,verified-zero-candidates,0,0
u_huazhong_university_of_science_and_technology,Huazhong University of Science and Technology,China,True,qs|the|arwu|usnews,307,176,73,92,verified-zero-candidates,0,0
u_northwest_university,Northwest University,China,True,arwu,,,401,,verified-zero-candidates,0,0
u_qingdao_university,Qingdao University,China,True,arwu|usnews,,,301,447,verified-zero-candidates,0,0
u_shandong_university,Shandong University,China,True,qs|arwu|usnews,310,,101,222,verified-zero-candidates,0,0
u_southeast_university,Southeast University,China,True,qs|the|arwu|usnews,336,251,101,133,verified-zero-candidates,0,0
u_sun_yat_sen_university,Sun Yat-sen University,China,True,qs|the|arwu|usnews,259,201,65,74,verified-zero-candidates,0,0
u_pontificia_universidad_javeriana,Pontificia Universidad Javeriana,Colombia,False,qs,395,,,,verified-zero-candidates,0,0
u_universidad_de_los_andes_colombia,Universidad de los Andes - Colombia,Colombia,False,qs,233,,,,verified-zero-candidates,0,0
u_universidad_de_costa_rica,Universidad de Costa Rica,Costa Rica,False,qs,465,,,,verified-zero-candidates,0,0
u_czech_technical_university_in_prague,Czech Technical University in Prague,Czechia,False,qs,434,,,,verified-zero-candidates,0,0
u_ain_shams_university,Ain Shams University,Egypt,False,usnews,,,,290,verified-zero-candidates,0,0
u_kafrelsheikh_university,Kafrelsheikh University,Egypt,False,usnews,,,,460,verified-zero-candidates,0,0
u_institut_polytechnique_de_paris,Institut Polytechnique de Paris,France,False,qs|the|arwu|usnews,44,68,201,328,existing-program-raw,0,3
u_university_of_rennes,University of Rennes,France,False,arwu,,,401,,existing-program-raw,0,3
u_hannover_medical_school,Hannover Medical School,Germany,False,arwu|usnews,,,401,476,existing-program-raw,0,2
u_university_of_leipzig,University of Leipzig,Germany,False,arwu|usnews,,,201,299,existing-program-raw,0,3
u_indian_institute_of_technology_delhi_iitd,Indian Institute of Technology Delhi (IITD),India,False,qs,118,,,,new-program-raw,0,5
u_indian_institute_of_technology_roorkee_iitr,Indian Institute of Technology Roorkee (IITR),India,False,qs,335,,,,new-program-raw,0,1
u_shoolini_university_of_biotechnology_and_management_sciences,Shoolini University of Biotechnology and Management Sciences,India,False,qs|the,454,401,,,verified-zero-candidates,0,0
u_gadjah_mada_university,Gadjah Mada University,Indonesia,False,qs,206,,,,verified-zero-candidates,0,0
u_institut_teknologi_bandung_itb,Institut Teknologi Bandung (ITB),Indonesia,False,qs,287,,,,verified-zero-candidates,0,0
u_universitas_indonesia,Universitas Indonesia,Indonesia,False,qs,193,,,,verified-zero-candidates,0,0
u_universitas_padjadjaran_unpad,Universitas Padjadjaran (UNPAD),Indonesia,False,qs,496,,,,verified-zero-candidates,0,0
u_iran_university_of_science_and_technology,Iran University of Science and Technology,Iran,False,the,,401,,,verified-zero-candidates,0,0
u_university_college_cork,University College Cork,Ireland,False,qs|the|arwu|usnews,220,351,301,364,verified-zero-candidates,0,0
u_university_of_brescia,University of Brescia,Italy,False,the,,351,,,existing-program-raw,0,3
u_university_of_florence,University of Florence,Italy,False,qs|the|arwu|usnews,411,351,301,255,existing-program-raw,0,3
