canonicalId,name,country,mainlandChina,rankingSources,qsRank,theRank,arwuRank,usnewsRank,goalCategory,programCaptured,programCandidates
u_central_queensland_university_cquniversity_australia,Central Queensland University (CQUniversity Australia),Australia,False,qs,437,,,,official-rejected,0,0
u_federation_university_australia,Federation University Australia,Australia,False,the,,,,,official-review,0,0
u_university_of_adelaide,University of Adelaide,Australia,False,the|arwu,,133,151,,official-review,0,0
u_university_of_newcastle,University of Newcastle,Australia,False,qs|the|arwu|usnews,244,251,401,242,official-review,0,0
u_university_of_south_australia,University of South Australia,Australia,False,the|arwu,,,401,,official-review,0,0
u_mcmaster_university,McMaster University,Canada,False,qs|the|arwu|usnews,175,116,101,150,official-review,0,0
u_anhui_university,Anhui University,China,True,arwu,,,301,,official-review,0,0
u_beihang_university,Beihang University,China,True,qs|the|arwu|usnews,349,251,101,183,verified-target-manifest-missing,0,0
u_beijing_institute_of_technology,Beijing Institute of Technology,China,True,qs|the|arwu|usnews,243,201,101,152,verified-target-manifest-missing,0,0
u_beijing_normal_university,Beijing Normal University,China,True,qs|the|arwu|usnews,237,134,101,135,verified-target-manifest-missing,0,0
u_beijing_university_of_chemical_technology,Beijing University of Chemical Technology,China,True,the|arwu|usnews,,401,201,359,verified-target-manifest-missing,0,0
u_capital_medical_university,Capital Medical University,China,True,arwu,,,201,,verified-target-manifest-missing,0,0
u_central_south_university,Central South University,China,True,qs|arwu|usnews,453,,96,131,verified-target-manifest-missing,0,0
u_china_agricultural_university,China Agricultural University,China,True,qs|arwu|usnews,478,,151,192,official-review,0,0
u_china_university_of_geosciences,China University of Geosciences,China,True,arwu|usnews,,,201,204,verified-target-manifest-missing,0,0
u_china_university_of_geosciences_beijing,China University of Geosciences Beijing,China,True,arwu,,,401,,verified-target-manifest-missing,0,0
u_china_university_of_mining_and_technology,China University of Mining and Technology,China,True,arwu,,,401,,verified-target-manifest-missing,0,0
u_china_university_of_petroleum_east_china,China University of Petroleum (East China),China,True,arwu,,,301,,verified-target-manifest-missing,0,0
u_chongqing_university,Chongqing University,China,True,qs|the|arwu|usnews,466,351,151,202,official-review,0,0
u_dalian_university_of_technology,Dalian University of Technology,China,True,qs|the|arwu|usnews,464,401,151,254,official-review,0,0
u_donghua_university,Donghua University,China,True,usnews,,,,471,official-review,0,0
u_east_china_normal_university,East China Normal University,China,True,qs|the|arwu|usnews,394,251,201,227,official-review,0,0
u_guangxi_university,Guangxi University,China,True,arwu,,,301,,official-review,0,0
u_guangzhou_medical_university,Guangzhou Medical University,China,True,arwu,,,301,,official-review,0,0
u_guangzhou_university,Guangzhou University,China,True,arwu,,,401,,official-review,0,0
u_harbin_institute_of_technology,Harbin Institute of Technology,China,True,qs|the|arwu|usnews,190,131,101,111,official-review,0,0
u_hefei_university_of_technology,Hefei University of Technology,China,True,arwu,,,401,,official-review,0,0
u_henan_university,Henan University,China,True,arwu,,,301,,official-review,0,0
u_huazhong_agricultural_university,Huazhong Agricultural University,China,True,arwu|usnews,,,201,351,official-review,0,0
u_hunan_university,Hunan University,China,True,qs|the|arwu|usnews,479,251,151,115,official-review,0,0
u_jiangnan_university,Jiangnan University,China,True,arwu|usnews,,,301,357,official-review,0,0
u_jiangsu_university,Jiangsu University,China,True,arwu|usnews,,,301,233,official-review,0,0
u_jilin_university,Jilin University,China,True,qs|arwu|usnews,490,,101,255,official-review,0,0
u_kunming_university_of_science_and_technology,Kunming University of Science and Technology,China,True,arwu,,,301,,official-review,0,0
u_lanzhou_university,Lanzhou University,China,True,arwu|usnews,,,201,425,official-review,0,0
u_nanchang_university,Nanchang University,China,True,arwu,,,301,,official-review,0,0
u_nanjing_agricultural_university,Nanjing Agricultural University,China,True,arwu|usnews,,,201,318,official-review,0,0
u_nanjing_forestry_university,Nanjing Forestry University,China,True,arwu|usnews,,,,386,official-review,0,0
u_nanjing_medical_university,Nanjing Medical University,China,True,arwu,,,201,,official-review,0,0
u_nanjing_normal_university,Nanjing Normal University,China,True,arwu|usnews,,,401,482,official-review,0,0
u_nanjing_tech_university,Nanjing Tech University,China,True,arwu,,,301,,official-review,0,0
u_nanjing_university,Nanjing University,China,True,qs|the|arwu|usnews,90,62,75,77,official-review,0,0
u_nanjing_university_of_aeronautics_and_astronautics,Nanjing University of Aeronautics and Astronautics,China,True,arwu|usnews,,,201,444,official-review,0,0
u_nanjing_university_of_information_science_and_technology,Nanjing University of Information Science and Technology,China,True,arwu|usnews,,,301,479,official-review,0,0
u_nanjing_university_of_posts_and_telecommunications,Nanjing University of Posts and Telecommunications,China,True,arwu,,,301,,official-review,0,0
u_nanjing_university_of_science_and_technology,Nanjing University of Science and Technology,China,True,arwu|usnews,,,201,441,official-review,0,0
u_nankai_university,Nankai University,China,True,qs|the|arwu|usnews,332,251,151,146,official-review,0,0
u_national_university_of_defense_technology,National University of Defense Technology,China,True,arwu,,,401,,official-review,0,0
u_ningbo_university,Ningbo University,China,True,arwu,,,401,,official-review,0,0
u_northeastern_university_shenyang,Northeastern University (Shenyang),China,True,arwu|usnews,,,201,384,official-rejected,0,0
u_northwest_af_university,Northwest A&F University,China,True,arwu|usnews,,,201,281,official-review,0,0
u_northwestern_polytechnical_university,Northwestern Polytechnical University,China,True,qs|the|arwu|usnews,426,251,101,182,official-review,0,0
u_ocean_university_of_china,Ocean University of China,China,True,arwu|usnews,,,301,425,official-review,0,0
u_peking_university,Peking University,China,True,qs|the|arwu|usnews,13,13,23,19,official-review,0,0
u_renmin_university_of_china,Renmin University of China,China,True,arwu|usnews,,,301,343,official-review,0,0
u_shanghai_jiao_tong_university,Shanghai Jiao Tong University,China,True,qs|the|arwu|usnews,36,40,30,37,official-review,0,0
u_shanghai_university,Shanghai University,China,True,qs|the|arwu|usnews,445,,201,279,official-review,0,0
u_shanghaitech_university,ShanghaiTech University,China,True,arwu|usnews,,,301,351,official-review,0,0
u_shenzhen_university,Shenzhen University,China,True,qs|the|arwu|usnews,418,351,201,166,official-review,0,0
u_sichuan_university,Sichuan University,China,True,qs|the|arwu|usnews,300,201,87,139,official-review,0,0
u_soochow_university,Soochow University,China,True,arwu|usnews,,,101,312,official-review,0,0
u_south_china_agricultural_university,South China Agricultural University,China,True,arwu,,,301,,official-review,0,0
u_south_china_university_of_technology,South China University of Technology,China,True,qs|the|arwu|usnews,342,251,101,162,official-review,0,0
u_southern_medical_university,Southern Medical University,China,True,the|arwu|usnews,,251,201,494,official-review,0,0
u_southern_university_of_science_and_technology_sustech,Southern University of Science and Technology (SUSTech),China,True,qs|the|arwu|usnews,317,160,101,119,official-rejected,0,0
u_southwest_jiaotong_university,Southwest Jiaotong University,China,True,arwu|usnews,,,301,497,official-review,0,0
u_southwest_university_china,Southwest University - China,China,True,usnews,,,,476,official-review,0,0
u_tianjin_university,Tianjin University,China,True,qs|the|arwu|usnews,236,201,101,166,official-review,0,0
u_tongji_university,Tongji University,China,True,qs|the|arwu|usnews,146,141,101,110,official-review,0,0
u_tsinghua_university,Tsinghua University,China,True,qs|the|arwu|usnews,14,12,18,6,official-review,0,0
u_university_of_chinese_academy_of_sciences_ucas,University of Chinese Academy of Sciences (UCAS),China,True,qs|usnews,361,,,53,official-review,0,0
u_university_of_electronic_science_and_technology_of_china,University of Electronic Science and Technology of China,China,True,qs|the|arwu|usnews,493,301,151,152,official-review,0,0
u_university_of_science_and_technology_beijing,University of Science and Technology Beijing,China,True,qs|arwu|usnews,446,,201,355,official-review,0,0
u_university_of_science_and_technology_of_china,University of Science and Technology of China,China,True,qs|the|arwu|usnews,135,51,40,59,official-review,0,0
u_university_of_shanghai_for_science_and_technology,University of Shanghai for Science and Technology,China,True,arwu,,,301,,official-review,0,0
u_westlake_university,Westlake University,China,True,usnews,,,,290,official-review,0,0
u_wuhan_university,Wuhan University,China,True,qs|the|arwu|usnews,166,122,81,85,official-review,0,0
u_wuhan_university_of_technology,Wuhan University of Technology,China,True,arwu|usnews,,,201,299,official-review,0,0
u_xiamen_university,Xiamen University,China,True,qs|the|arwu|usnews,304,251,101,176,official-review,0,0
u_xidian_university,Xidian University,China,True,arwu|usnews,,,301,378,official-review,0,0
u_xian_jiaotong_university,Xi’an Jiaotong University,China,True,qs|the|arwu|usnews,297,201,92,129,official-review,0,0
u_yunnan_university,Yunnan University,China,True,arwu,,,301,,official-review,0,0
u_zhejiang_normal_university,Zhejiang Normal University,China,True,usnews,,,,384,official-review,0,0
u_zhejiang_university,Zhejiang University,China,True,qs|the|arwu|usnews,47,39,24,35,official-review,0,0
u_zhejiang_university_of_technology,Zhejiang University of Technology,China,True,arwu,,,301,,official-review,0,0
u_zhengzhou_university,Zhengzhou University,China,True,arwu|usnews,,,151,208,official-review,0,0
u_university_of_zagreb,University of Zagreb,Croatia,False,arwu,,,,,official-review,0,0
u_alexandria_university,Alexandria University,Egypt,False,usnews,,,,304,official-review,0,0
u_mansoura_university,Mansoura University,Egypt,False,usnews,,,,267,official-review,0,0
u_tanta_university,Tanta University,Egypt,False,usnews,,,,428,official-review,0,0
u_the_american_university_in_cairo,The American University in Cairo,Egypt,False,qs,393,,,,official-review,0,0
u_zagazig_university,Zagazig University,Egypt,False,usnews,,,,304,official-review,0,0
u_aristotle_university_of_thessaloniki,Aristotle University of Thessaloniki,Greece,False,usnews,,,,391,official-review,0,0
u_national_technical_university_of_athens,National Technical University of Athens,Greece,False,qs,378,,,,official-review,0,0
u_national_and_kapodistrian_university_of_athens,National and Kapodistrian University of Athens,Greece,False,qs|arwu|usnews,403,,,227,official-review,0,0
u_the_chinese_university_of_hong_kong,The Chinese University of Hong Kong,Hong Kong,False,qs|the|arwu|usnews,18,41,101,28,official-review,0,0
u_the_education_university_of_hong_kong,The Education University of Hong Kong,Hong Kong,False,qs,408,,,,official-review,0,0
u_anna_university,Anna University,India,False,qs|the,471,,,,official-review,0,0
